"DATA" "Alpha" "Delta" "total" "fracDelta" "n_delta"
"1" 2021-05-01 13 0 13 0 0
"2" 2021-05-02 17 0 17 0 0
"3" 2021-05-03 148 1 149 0.00671140939597315 1
"4" 2021-05-04 89 4 93 0.043010752688172 4
"5" 2021-05-05 70 1 71 0.0140845070422535 1
"6" 2021-05-06 127 0 127 0 0
"7" 2021-05-07 115 2 117 0.0170940170940171 2
"8" 2021-05-08 20 2 22 0.0909090909090909 2
"9" 2021-05-09 17 0 17 0 0
"10" 2021-05-10 67 1 68 0.0147058823529412 1
"11" 2021-05-11 60 1 61 0.0163934426229508 1
"12" 2021-05-12 102 4 106 0.0377358490566038 4
"13" 2021-05-13 109 6 115 0.0521739130434783 6
"14" 2021-05-14 66 3 69 0.0434782608695652 3
"15" 2021-05-15 14 1 15 0.0666666666666667 1
"16" 2021-05-16 13 4 17 0.235294117647059 4
"17" 2021-05-17 94 8 102 0.0784313725490196 8
"18" 2021-05-18 45 1 46 0.0217391304347826 1
"19" 2021-05-19 38 3 41 0.0731707317073171 3
"20" 2021-05-20 65 10 75 0.133333333333333 10
"21" 2021-05-21 67 15 82 0.182926829268293 15
"22" 2021-05-22 20 0 20 0 0
"23" 2021-05-23 13 2 15 0.133333333333333 2
"24" 2021-05-24 25 2 27 0.0740740740740741 2
"25" 2021-05-25 49 19 68 0.279411764705882 19
"26" 2021-05-26 51 28 79 0.354430379746835 28
"27" 2021-05-27 41 19 60 0.316666666666667 19
"28" 2021-05-28 75 27 102 0.264705882352941 27
"29" 2021-05-29 16 3 19 0.157894736842105 3
"30" 2021-05-30 16 0 16 0 0
"31" 2021-05-31 42 16 58 0.275862068965517 16
"32" 2021-06-01 48 21 69 0.304347826086957 21
"33" 2021-06-02 63 14 77 0.181818181818182 14
"34" 2021-06-03 63 25 88 0.284090909090909 25
"35" 2021-06-04 43 25 68 0.367647058823529 25
"36" 2021-06-05 11 11 22 0.5 11
"37" 2021-06-06 14 2 16 0.125 2
"38" 2021-06-07 38 15 53 0.283018867924528 15
"39" 2021-06-08 53 24 77 0.311688311688312 24
"40" 2021-06-09 47 15 62 0.241935483870968 15
"41" 2021-06-10 47 27 74 0.364864864864865 27
"42" 2021-06-11 38 12 50 0.24 12
"43" 2021-06-12 9 5 14 0.357142857142857 5
"44" 2021-06-13 8 10 18 0.555555555555556 10
"45" 2021-06-14 41 12 53 0.226415094339623 12
"46" 2021-06-15 95 28 123 0.227642276422764 28
"47" 2021-06-16 41 35 76 0.460526315789474 35
"48" 2021-06-17 33 33 66 0.5 33
"49" 2021-06-18 48 35 83 0.421686746987952 35
"50" 2021-06-19 8 13 21 0.619047619047619 13
"51" 2021-06-20 6 6 12 0.5 6
"52" 2021-06-21 44 46 90 0.511111111111111 46
"53" 2021-06-22 47 61 108 0.564814814814815 61
"54" 2021-06-23 31 64 95 0.673684210526316 64
"55" 2021-06-24 10 10 20 0.5 10
"56" 2021-06-25 20 72 92 0.782608695652174 72
"57" 2021-06-26 5 30 35 0.857142857142857 30
"58" 2021-06-27 5 23 28 0.821428571428571 23
"59" 2021-06-28 55 94 149 0.630872483221476 94
"60" 2021-06-29 27 160 187 0.855614973262032 160
"61" 2021-06-30 12 94 106 0.886792452830189 94
"62" 2021-07-01 18 96 114 0.842105263157895 96
"63" 2021-07-02 15 122 137 0.89051094890511 122
"64" 2021-07-03 7 54 61 0.885245901639344 54
"65" 2021-07-04 6 44 50 0.88 44
"66" 2021-07-05 8 123 131 0.938931297709924 123
"67" 2021-07-06 11 132 143 0.923076923076923 132
"68" 2021-07-07 22 143 165 0.866666666666667 143
"69" 2021-07-08 15 135 150 0.9 135
"70" 2021-07-09 14 182 196 0.928571428571429 182
"71" 2021-07-10 3 51 54 0.944444444444444 51
"72" 2021-07-11 1 39 40 0.975 39
"73" 2021-07-12 17 182 199 0.914572864321608 182
"74" 2021-07-13 29 178 207 0.859903381642512 178
"75" 2021-07-14 3 120 123 0.975609756097561 120
"76" 2021-07-15 6 155 161 0.962732919254658 155
"77" 2021-07-16 8 191 199 0.959798994974874 191
"78" 2021-07-17 0 46 46 1 46
"79" 2021-07-18 0 51 51 1 51
"80" 2021-07-19 2 170 172 0.988372093023256 170
"81" 2021-07-20 5 165 170 0.970588235294118 165
"82" 2021-07-21 3 128 131 0.977099236641221 128
"83" 2021-07-22 2 109 111 0.981981981981982 109
"84" 2021-07-23 1 108 109 0.990825688073395 108
"85" 2021-07-24 0 81 81 1 81
"86" 2021-07-25 0 46 46 1 46
"87" 2021-07-26 0 188 188 1 188
"88" 2021-07-27 3 135 138 0.978260869565217 135
"89" 2021-07-28 3 112 115 0.973913043478261 112
"90" 2021-07-29 0 103 103 1 103
"91" 2021-07-30 0 109 109 1 109
"92" 2021-07-31 0 28 28 1 28
"93" 2021-08-01 0 32 32 1 32
"94" 2021-08-02 0 185 185 1 185
"95" 2021-08-03 6 157 163 0.96319018404908 157
"96" 2021-08-04 11 202 213 0.948356807511737 202
"97" 2021-08-05 0 72 72 1 72
"98" 2021-08-06 0 84 84 1 84
"99" 2021-08-07 0 23 23 1 23
"100" 2021-08-08 0 29 29 1 29
"101" 2021-08-09 0 111 111 1 111
"102" 2021-08-10 10 167 177 0.943502824858757 167
"103" 2021-08-11 0 76 76 1 76
"104" 2021-08-12 2 78 80 0.975 78
"105" 2021-08-13 0 107 107 1 107
"106" 2021-08-14 0 30 30 1 30
"107" 2021-08-15 0 23 23 1 23
"108" 2021-08-16 0 103 103 1 103
