"DATA";"PROVA";"VARIANT";"RECOMPTE"
2020-12-24 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);7
2020-12-25 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);4
2020-12-28 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);1
2020-12-28 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);17
2020-12-29 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);10
2020-12-30 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);3
2020-12-30 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);20
2020-12-30 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);1
2020-12-31 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);25
2021-01-01 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);1
2021-01-02 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);2
2021-01-02 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);9
2021-01-02 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);1
2021-01-04 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);2
2021-01-04 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);13
2021-01-04 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);5
2021-01-04 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);8
2021-01-05 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);19
2021-01-05 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);1
2021-01-05 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);2
2021-01-06 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);1
2021-01-06 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);2
2021-01-07 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);1
2021-01-07 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);19
2021-01-07 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);1
2021-01-07 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);1
2021-01-08 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);2
2021-01-08 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);9
2021-01-09 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);5
2021-01-09 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);30
2021-01-10 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);1
2021-01-10 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);1
2021-01-11 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);1
2021-01-11 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);5
2021-01-11 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);2
2021-01-11 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);8
2021-01-12 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);3
2021-01-12 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);38
2021-01-12 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);2
2021-01-12 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);2
2021-01-13 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);19
2021-01-13 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);96
2021-01-13 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);1
2021-01-13 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);1
2021-01-13 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);2
2021-01-13 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);6
2021-01-14 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);11
2021-01-14 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);49
2021-01-14 00:00:00.000;(gen S): seqüenciació parcial;Alfa (B.1.1.7);1
2021-01-14 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);8
2021-01-14 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);7
2021-01-15 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);1
2021-01-15 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);32
2021-01-15 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);3
2021-01-15 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);3
2021-01-16 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);3
2021-01-16 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);35
2021-01-16 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);1
2021-01-17 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);1
2021-01-17 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);7
2021-01-17 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);7
2021-01-18 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);11
2021-01-18 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);96
2021-01-18 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);3
2021-01-18 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);25
2021-01-18 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);26
2021-01-19 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);10
2021-01-19 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);46
2021-01-19 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);4
2021-01-19 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);14
2021-01-19 00:00:00.000;seqüenciació completa;Beta (B.1.351 i subvariants);1
2021-01-19 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);16
2021-01-20 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);12
2021-01-20 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Altres seqüències de virus complet (Altres);35
2021-01-20 00:00:00.000;seqüenciació completa;Alfa (B.1.1.7);3
2021-01-20 00:00:00.000;seqüenciació completa;Altres seqüències de virus complet (Altres);10
2021-01-20 00:00:00.000;seqüenciació completa;Estiu 2020, espanyola (B.1.177);16
2021-01-21 00:00:00.000;(gen S) cribratge variants: PCR en temps real;Alfa (B.1.1.7);2
